,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
539,311,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
540,311dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,, Tourism,,
541,312,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
542,312dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,"Commerce (for work, for shopping, for restaurants, etc)",,
543,313,25 - 44 years,Male,"100,001 - 125,000 rupees",Outside Karachi,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
544,313dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Outside Karachi,,"Commerce (for work, for shopping, for restaurants, etc)",,
545,313dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Outside Karachi,,Special events held in the vicinity,,
546,314,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulberg,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
547,314dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulberg,,"Relief (from climate, from stresses, etc)",,
548,315,25 - 44 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
549,315dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
550,315dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
551,316,15 - 24 years,Male,"200,001 and above",Nazimabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
552,316dup,15 - 24 years,Male,"200,001 and above",Nazimabad,,Most accessible (public beach closest to urban Karachi),,
553,316dup,15 - 24 years,Male,"200,001 and above",Nazimabad,,"Commerce (for work, for shopping, for restaurants, etc)",,
554,317,15 - 24 years,Female,"200,001 and above",Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
555,317dup,15 - 24 years,Female,"200,001 and above",Garden,,Most accessible (public beach closest to urban Karachi),,
556,317dup,15 - 24 years,Female,"200,001 and above",Garden,,,,
557,318,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
558,318dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
559,319,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
560,319dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
561,319dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
562,320,15 - 24 years,Female,"75,001 - 100,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
563,321,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
564,321dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,,"Celebrating (personal milestones, special occasions, etc)",,
565,321dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,,"Relief (from climate, from stresses, etc)",,
566,322,25 - 44 years,Female,"75,001 - 100,000 rupees",Faisal Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
567,322dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Faisal Cantonment,,Most accessible (public beach closest to urban Karachi),,
568,322dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Faisal Cantonment,,"Relief (from climate, from stresses, etc)",,
569,323,25 - 44 years,Female,"75,001 - 100,000 rupees",Ferozabad,Frequently (multiple times a month),Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
570,323dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Ferozabad,,"Relief (from climate, from stresses, etc)",,
571,324,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
572,324dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
573,324dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,"Commerce (for work, for shopping, for restaurants, etc)",,
574,325,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
575,325dup,15 - 24 years,Male,"50,001 - 75,000 rupees",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
576,326,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
577,326dup,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
578,327,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
579,327dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Liaquatabad,,Most accessible (public beach closest to urban Karachi),,
580,328,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
581,328dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
582,329,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Not often - I prefer other beaches,"Commerce (for work, for shopping, for restaurants, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
583,330,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
584,330dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
585,331,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
586,331dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
587,332,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
588,333,15 - 24 years,Female,Prefer not to answer,,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
589,334,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
590,335,15 - 24 years,Male,"200,001 and above",Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
591,335dup,15 - 24 years,Male,"200,001 and above",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
592,336,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
593,337,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
594,338,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
595,338dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,"Relief (from climate, from stresses, etc)",,
596,338dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,Tourism,,
597,339,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,Not often (few times in many years),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
598,339dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,,Tourism,,
599,340,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
