,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
627,249dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
628,250,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)","Accessibility, cleanliness and shared sense of community",Important
629,250dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
630,250dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
631,251,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Cleanliness and safety. As the public itself is responsible for littering, fines and penalties may help curb this problem and also help generate revenue for the local authorities, which in turn can be reinvested to develop the infrastructure around the area. ",Important
632,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
633,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
634,252,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
635,252dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
636,252dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
637,253,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Cleanliness is the most important bit. The introduction of biking lane on sea view road, I believe, is a great initiative! More water sports activities, as available on the world renowned beaches - but it shouldn't come at a cost for people with their incomes linked to current beach activities",Important
638,253dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Natural areas (like: forests, gardens, etc)",,
639,253dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
640,254,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Clean Beaches ,Important
641,254dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
642,254dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
643,255,25 - 44 years,Male,Prefer not to answer,Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
644,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
645,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
646,256,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,"Amenities (like: washrooms, washing areas, lockers, etc)",,Indifferent
647,256dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
648,256dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
649,257,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
650,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
651,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
652,258,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)","A clean, safe beach with amenities, seating areas, some plantation and recreational areas. 
I had served as Project Consultant (Tameer-e-Karachi Program) with the City District Government, back in Gen Musharraf Era. We had made such plans, started implementation; but unfortunately all but a little was lost in political reshufflings. Would be happy to share my experience and participate in improving Karachi.",Important
653,258dup,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
654,258dup,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
655,259,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
656,259dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
657,259dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
658,260,45 years and above,Female,"75,001 - 100,000 rupees",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
659,260dup,45 years and above,Female,"75,001 - 100,000 rupees",,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
660,260dup,45 years and above,Female,"75,001 - 100,000 rupees",,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
661,261,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
662,261dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
663,261dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
664,262,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",The most important is a clean beach without polution and basic facilities for comfort and safety ,Important
665,262dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
666,262dup,45 years and above,Male,"200,001 and above",North Nazimabad Town,"Natural areas (like: forests, gardens, etc)",,
667,263,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
668,263dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
669,263dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
670,264,45 years and above,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Needs more cleanliness, plantations, and freely accecabl for all only families",Not Important
671,264dup,45 years and above,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
672,264dup,45 years and above,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
673,265,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
674,265dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
675,265dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
676,266,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
677,266dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
678,266dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
679,267,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Safe, unpolluted, citizen-friendly public space.",Important
680,267dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
681,267dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
682,268,25 - 44 years,Female,"200,001 and above",Ferozabad,"Amenities (like: washrooms, washing areas, lockers, etc)",if it was clean and safe,Important
683,268dup,25 - 44 years,Female,"200,001 and above",Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
684,268dup,25 - 44 years,Female,"200,001 and above",Ferozabad,"Natural areas (like: forests, gardens, etc)",,
685,269,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","It already is.

Visiting the beach late at night is woth others, seldom alone, the feeling of safety is slightly diminshed alone at night care of our city security situation.",Important
686,269dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
687,269dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
688,270,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,"Amenities (like: washrooms, washing areas, lockers, etc)",If people didn't stare at me and if there were accessible washrooms ,Important
689,270dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
690,270dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
691,271,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)","Certainly a farther designated area for parking not near the beach, and enforced cleanliness, which could massively be solved by actually providing propper trash cans

And lastly, amenities should be evenly spread out instead of more in the Ameero ka sahil",Indifferent
692,271dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
693,271dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
694,272,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",Serenity,Important
695,272dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
696,272dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
697,273,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,"Amenities (like: washrooms, washing areas, lockers, etc)","That it is not commercialized at all.
That restaurants like McDonald's are demolished and replaced by cheap eatries that serve masses rather than elite.
That there is abundant public transport running between areas like Korangi and Shah Faisal to sea view.
Right now, sea view road is not meant for pedestrians. Private vehicles should be banned on it. And a street culture should develop on the whole road. ",Important
698,273dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
699,273dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
700,274,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,"Amenities (like: washrooms, washing areas, lockers, etc)",transport availability and accessibility. esp accessibility of for-hire services like Uber and Bykea,Indifferent
701,274dup,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
702,274dup,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
703,275,45 years and above,Male,"200,001 and above",Saddar,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,Important
704,276,25 - 44 years,Male,"200,001 and above",,"Amenities (like: washrooms, washing areas, lockers, etc)","Maintenance, hygiene, selection of visitors ",Important
705,276dup,25 - 44 years,Male,"200,001 and above",,"Commerce (like: restaurants, bazaars, malls, etc)",,
706,276dup,25 - 44 years,Male,"200,001 and above",,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
707,277,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","No bad smell, cleanliness, no crowd staring, ",Important
708,277dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
709,277dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
710,278,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
711,278dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
712,278dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
